idRegistro;idUsuario;idEmpresa;tipo_operacion;fecha;hora_local;direccion_ip;dispositivo;plataforma;ubicacion;fecha_edicion;usuario_edicion;ip_edicion;descripcion;manual
4251133;208673;24878;0;"2026-02-25 15:00:00";"2026-02-25 15:00:00";90.173.187.34;Ordenador;"Chrome 145";"Lat: / Long:";;;;"turno tarde ";1
4251134;208673;24878;1;"2026-02-25 20:00:00";"2026-02-25 20:00:00";90.173.187.34;Ordenador;"Chrome 145";"Lat: / Long:";;;;"turno tarde ";1
4257026;208673;24878;0;"2026-02-27 15:00:00";"2026-02-27 15:00:00";90.173.187.34;Ordenador;"Chrome 145";"Lat: / Long:";;;;"turno tarde ";1
4257027;208673;24878;1;"2026-02-27 20:00:00";"2026-02-27 20:00:00";90.173.187.34;Ordenador;"Chrome 145";"Lat: / Long:";;;;"turno tarde ";1
4258073;214267;24878;0;"2026-02-26 15:00:00";"2026-02-26 15:00:00";90.173.187.34;Ordenador;"Chrome 145";"Lat:41.36037197797123 / Long:2.137935866274359";;;;1;1
4258074;214267;24878;1;"2026-02-26 20:00:00";"2026-02-26 20:00:00";90.173.187.34;Ordenador;"Chrome 145";"Lat:41.36037197797123 / Long:2.137935866274359";;;;1;1
4258075;214267;24878;0;"2026-02-27 15:00:00";"2026-02-27 15:00:00";90.173.187.34;Ordenador;"Chrome 145";"Lat:41.360380722743386 / Long:2.1379374413060144";;;;1;1
4258076;214267;24878;1;"2026-02-27 20:00:00";"2026-02-27 20:00:00";90.173.187.34;Ordenador;"Chrome 145";"Lat:41.360380722743386 / Long:2.1379374413060144";;;;1;1
4261720;209432;24878;0;"2026-03-02 09:05:00";"2026-03-02 09:05:00";90.173.187.34;Ordenador;"Chrome 145";"Lat:41.36004441665184 / Long:2.1378453554136936";;;;"Jornada Completa";1
4261721;209432;24878;2;"2026-03-02 14:00:00";"2026-03-02 14:00:00";90.173.187.34;Ordenador;"Chrome 145";"Lat:41.36004441665184 / Long:2.1378453554136936";;;;"Jornada Completa";1
4261722;209432;24878;3;"2026-03-02 15:00:00";"2026-03-02 15:00:00";90.173.187.34;Ordenador;"Chrome 145";"Lat:41.36004441665184 / Long:2.1378453554136936";;;;"Jornada Completa";1
4261723;209432;24878;1;"2026-03-02 18:00:00";"2026-03-02 18:00:00";90.173.187.34;Ordenador;"Chrome 145";"Lat:41.36004441665184 / Long:2.1378453554136936";;;;"Jornada Completa";1
4262299;208673;24878;0;"2026-03-02 15:00:00";"2026-03-02 15:00:00";90.173.187.34;Ordenador;"Chrome 145";"Lat: / Long:";;;;"turno tarde";1
4262300;208673;24878;1;"2026-03-02 20:00:00";"2026-03-02 20:00:00";90.173.187.34;Ordenador;"Chrome 145";"Lat: / Long:";;;;"turno tarde";1
4262339;214267;24878;0;"2026-03-02 15:00:00";"2026-03-02 15:00:00";90.173.187.34;Ordenador;"Chrome 145";"Lat:41.36018675 / Long:2.1378857499999997";;;;1;1
4262340;214267;24878;1;"2026-03-02 20:00:00";"2026-03-02 20:00:00";90.173.187.34;Ordenador;"Chrome 145";"Lat:41.36018675 / Long:2.1378857499999997";;;;1;1
4267892;209432;24878;0;"2026-03-03 09:00:00";"2026-03-03 09:00:00";90.173.187.34;Ordenador;"Chrome 145";"Lat:41.360295 / Long:2.138118";;;;"Jornada Completa";1
4267893;209432;24878;2;"2026-03-03 14:59:00";"2026-03-03 14:59:00";90.173.187.34;Ordenador;"Chrome 145";"Lat:41.360295 / Long:2.138118";;;;"Jornada Completa";1
4267894;209432;24878;3;"2026-03-03 15:59:00";"2026-03-03 15:59:00";90.173.187.34;Ordenador;"Chrome 145";"Lat:41.360295 / Long:2.138118";;;;"Jornada Completa";1
4267895;209432;24878;1;"2026-03-03 18:00:00";"2026-03-03 18:00:00";90.173.187.34;Ordenador;"Chrome 145";"Lat:41.360295 / Long:2.138118";;;;"Jornada Completa";1
4270108;208673;24878;0;"2026-03-03 15:00:00";"2026-03-03 15:00:00";90.173.187.34;Ordenador;"Chrome 145";"Lat:41.359925129269065 / Long:2.1377010022342806";;;;"TURNO TARDE ";1
4270109;208673;24878;1;"2026-03-03 20:00:00";"2026-03-03 20:00:00";90.173.187.34;Ordenador;"Chrome 145";"Lat:41.359925129269065 / Long:2.1377010022342806";;;;"TURNO TARDE ";1
4275012;214267;24878;0;"2026-03-03 15:00:00";"2026-03-03 15:00:00";90.173.187.34;Ordenador;"Chrome 145";"Lat:41.36002892867238 / Long:2.1378717002732497";;;;1;1
4275013;214267;24878;1;"2026-03-03 20:00:00";"2026-03-03 20:00:00";90.173.187.34;Ordenador;"Chrome 145";"Lat:41.36002892867238 / Long:2.1378717002732497";;;;1;1
4275020;214267;24878;0;"2026-03-04 15:00:00";"2026-03-04 15:00:00";90.173.187.34;Ordenador;"Chrome 145";"Lat:41.36002892867238 / Long:2.1378717002732497";;;;2;1
4275021;214267;24878;1;"2026-03-04 20:00:00";"2026-03-04 20:00:00";90.173.187.34;Ordenador;"Chrome 145";"Lat:41.36002892867238 / Long:2.1378717002732497";;;;2;1
4282113;208673;24878;0;"2026-03-04 15:00:00";"2026-03-04 15:00:00";90.173.187.34;Ordenador;"Chrome 145";;;;;"turno tarde";1
4282114;208673;24878;1;"2026-03-04 20:00:00";"2026-03-04 20:00:00";90.173.187.34;Ordenador;"Chrome 145";;;;;"turno tarde";1
4282115;208673;24878;0;"2026-03-05 15:00:00";"2026-03-05 15:00:00";90.173.187.34;Ordenador;"Chrome 145";;;;;"turno tarde ";1
4282116;208673;24878;1;"2026-03-05 20:00:00";"2026-03-05 20:00:00";90.173.187.34;Ordenador;"Chrome 145";;;;;"turno tarde ";1
4282633;214267;24878;0;"2026-03-05 15:00:00";"2026-03-05 15:00:00";90.173.187.34;Ordenador;"Chrome 145";"Lat:41.36023443431401 / Long:2.1378135638645626";;;;1;1
4282634;214267;24878;1;"2026-03-05 20:00:00";"2026-03-05 20:00:00";90.173.187.34;Ordenador;"Chrome 145";"Lat:41.36023443431401 / Long:2.1378135638645626";;;;1;1
4287065;208673;24878;0;"2026-03-06 15:00:00";"2026-03-06 15:00:00";90.173.187.34;Ordenador;"Chrome 145";;;;;"turno tarde ";1
4287066;208673;24878;1;"2026-03-06 20:00:00";"2026-03-06 20:00:00";90.173.187.34;Ordenador;"Chrome 145";;;;;"turno tarde ";1
4287515;214267;24878;0;"2026-03-06 15:00:00";"2026-03-06 15:00:00";90.173.187.34;Ordenador;"Chrome 145";"Lat:41.360141 / Long:2.138216";;;;1;1
