idCita;idSala
137554270;14840
137556155;14840
137562165;14841
137574444;14841
137579451;14841
137580797;14840
137583808;14840
137592360;14841
137603004;14841
137614197;14841
137676779;14841
137677568;14841
137677897;14841
137680087;14841
137683012;14840
137685443;14840
137688816;14840
137695953;14840
137703166;14840
137703676;14841
137759614;14840
137761290;14841
137774335;14840
137776118;14840
137777524;14841
137778489;14841
137796489;14841
137804165;14841
137813320;14841
137813645;14841
137815103;14841
137818807;14841
137857149;14840
137877844;14840
137880819;14841
137888803;14841
137893837;14841
137898608;14841
137900081;14841
137906780;14841
137909260;14841
137911998;14840
137914764;14841
137916404;14840
137921271;14841
137955566;14841
137956970;14841
137958169;14841
137958695;14840
137960849;14841
137963138;14841
137968848;14841
137979274;14841
137981452;14841
137981821;14841
137982344;14841
137995068;14841
137999107;14840
138000213;14840
138005841;14841
138008135;14841
138026485;14841
138029438;14841
138031230;14841
138033275;14841
138046148;14840
138047035;14840
138049182;14840
138053215;14841
138064494;14841
138081038;14841
138086719;14841
138088603;14841
138089304;14841
138089880;14841
138091641;14841
138110700;14841
138114238;14841
138123879;14841
138127810;14841
138133213;14841
138135715;14841
138143053;14841
138143453;14841
138161549;14841
138165384;14841
138165686;14841
138167143;14841
138181547;14840
138201515;14841
138212341;14841
138217467;14841
138234465;14841
138235150;14841
138240796;14841
138240955;14841
138245140;14841
138254237;14841
138257670;14841
138274997;14841
138278688;14841
138279295;14841
138281620;14841
138282783;14841
138292637;14840
138306524;14841
138315554;14841
138320778;14841
138321339;14841
138322544;14841
138328334;14841
138329984;14841
138333146;14841
138333323;14841
138388348;14841
138389163;14840
138392676;14841
138401062;14840
138406987;14841
138410860;14841
138411889;14841
138412443;14840
138429025;14841
138432376;14841
138437964;14840
138441745;14841
138446957;14841
138452158;14841
138452587;14841
138470801;14840
138471068;14840
138478504;14841
138478696;14841
138480009;14840
138480515;14840
138484308;14841
138501116;14841
138503770;14841
138506625;14840
138507459;14841
138513710;14841
138524384;14840
138524900;14841
138526714;14841
138527683;14840
138528365;14841
138544454;14841
138545761;14841
138549814;14841
138567244;14841
138575671;14841
138585139;14840
138585954;14840
138588773;14841
138590977;14840
138602111;14841
138617091;14841
138617526;14841
138661711;14841
138669873;14840
138676107;14841
138692110;14841
138701965;14841
138702599;14841
138710332;14841
138710493;14841
138731725;14841
138760974;14841
138773552;14841
138779526;14841
138781381;14841
138783885;14841
138789392;14841
138789617;14841
138800282;14841
138816076;14841
138827683;14841
138829243;14840
138834683;14841
138839614;14841
138846725;14840
138889191;14840
138900176;14841
138904855;14841
138911912;14841
138912184;14841
138934462;14841
138941355;14841
138947755;14840
138970731;14841
138991178;14841
138996762;14841
139020423;14841
139022689;14841
139029440;14841
139030180;14841
139030952;14841
139031380;14841
139036411;14841
139045316;14841
139056525;14841
139080357;14841
139081473;14841
139085354;14841
139089965;14841
139093135;14841
139093637;14841
139110028;14841
139117844;14841
139155897;14841
139161947;14841
139167241;14840
139168831;14841
139169450;14841
139200062;14841
139203625;14841
139204525;14841
139230113;14840
139234406;14840
139238817;14841
139241632;14841
139242168;14841
139248103;14840
139261337;14841
139263009;14841
139270872;14841
139277062;14841
139283960;14840
139284112;14841
139328849;14841
139330075;14840
139348670;14841
139350519;14841
139361294;14841
139362224;14841
139386736;14841
139411565;14841
139414799;14841
139414866;14841
139415662;14841
139440516;14841
139445402;14841
139449448;14840
139456018;14841
139458639;14840
139469752;14841
139471220;14841
139478427;14841
139483499;14841
139494064;14841
139509304;14841
139515657;14841
139527825;14841
139528716;14840
139529144;14840
139535660;14840
139546136;14841
139565672;14841
139572554;14841
139577584;14841
139580207;14841
139584679;14841
139594184;14841
139622032;14841
139641826;14841
139656380;14841
139656651;14841
139659380;14841
139661384;14841
139665728;14841
139665794;14841
139665885;14841
139665996;14841
139694030;14841
139711120;14841
139749488;14841
139753572;14841
139810640;14840
139816174;14841
139834924;14841
139835654;14841
139967773;14841
139977032;14841
139984458;14841
139986142;14840
140073384;14841
140144695;14841
140265920;14841
140284037;14841
140284426;14841
140315482;14841
140350846;14841
140518346;14841
140672350;14841
140700575;14841
140724117;14840
140766301;14841
140886020;14841
140897758;14841
140919400;14841
141045597;14841
141063559;14841
141085278;14841
141095152;14841
